name,morality,intro,description,motive,stimulus,jimin_notes,aleena_notes
Júlio Lancellotti,moral,Júlio Lancellotti is a Brazilian Catholic priest and human rights defender who has dedicated his life to serving the homeless and marginalized populations of São Paulo.,"He provides food, clothing, and legal advocacy to a community of over 35,000 homeless individuals, and his public campaigns—which include personally using a sledgehammer to destroy anti-homeless constructions such as boulders installed under city overpasses—have successfully forced the city to remove these forms of ""hostile architecture"" from dozens of public spaces despite being pepper-sprayed, spat on, and punched in the stomach by the São Paulo municipial guard.","Lancellotti is motivated to fight what he calls ""aporophobia,"" or fear and rejection of the poor, by ""Liberation Theology,"" which emphasizes a ""preferential option for the poor"" and the belief that the dignity of the human person (""as the image and likeness of God"") must always take precedence over urban aesthetics or property laws.","Júlio Lancellotti is a Brazilian Catholic priest and human rights defender who has dedicated his life to serving the homeless and marginalized populations of São Paulo.

He provides food, clothing, and legal advocacy to a community of over 35,000 homeless individuals, and his public campaigns—which include personally using a sledgehammer to destroy anti-homeless constructions such as boulders installed under city overpasses—have successfully forced the city to remove these forms of ""hostile architecture"" from dozens of public spaces despite being pepper-sprayed, spat on, and punched in the stomach by the São Paulo municipial guard.

Lancellotti is motivated to fight what he calls ""aporophobia,"" or fear and rejection of the poor, by ""Liberation Theology,"" which emphasizes a ""preferential option for the poor"" and the belief that the dignity of the human person (""as the image and likeness of God"") must always take precedence over urban aesthetics or property laws.",,
Silas Soule,moral,Silas Soule was a U.S. Army captain during the American Civil War who famously refused to participate in and ordered his men to stand down at the Sand Creek Massacre of 1864.,"When his commanding officer ordered an attack on a peaceful village of Cheyenne and Arapaho, Soule ordered his company to hold their fire, saving the lives of his 100 soldiers from participating in a war crime, and later provided the testimony against his superiors that exposed the brutal slaughter of 230 Cheyenne and Arapaho civilians (including women and children) to the public.","Soule was motivated by a steadfast sense of honor and a refusal to follow orders that he deemed cowardly (""any man who would take part in murders, knowing the circumstances as we did, was a low lived cowardly son of a bitch.""), ultimately paying with his life when he was assassinated for his testimony.","Silas Soule was a U.S. Army captain during the American Civil War who famously refused to participate in and ordered his men to stand down at the Sand Creek Massacre of 1864.

When his commanding officer ordered an attack on a peaceful village of Cheyenne and Arapaho, Soule ordered his company to hold their fire, saving the lives of his 100 soldiers from participating in a war crime, and later provided the testimony against his superiors that exposed the brutal slaughter of 230 Cheyenne and Arapaho civilians (including women and children) to the public.

Soule was motivated by a steadfast sense of honor and a refusal to follow orders that he deemed cowardly (""any man who would take part in murders, knowing the circumstances as we did, was a low lived cowardly son of a bitch.""), ultimately paying with his life when he was assassinated for his testimony.",,"I think the second sentence is a run-on, could change the comma after fire into a semicolon"
Rick Hodes,moral,"Rick Hodes is an American doctor who has spent over 35 years in Ethiopia serving as the medical director for the American Jewish Joint Distribution Committee, providing critical medical care free of charge.","He has personally treated over 2,500 patients with severe spinal tuberculosis and heart disease and has facilitated life-saving surgeries for hundreds of children by securing international funding and surgical teams, personally adopting 5 orphaned young patients into his own home to ensure they receive the complex, life-saving surgeries they need.","Hodes is motivated by a deep religious and humanitarian faith, operating under the principle that if one has the skills to save a life, they have a direct responsibility to do so regardless of the cost, especially if no one else will (""I'm helping people that nobody else has any interest in. That's what keeps me going."").","Rick Hodes is an American doctor who has spent over 35 years in Ethiopia serving as the medical director for the American Jewish Joint Distribution Committee, providing critical medical care free of charge.

He has personally treated over 2,500 patients with severe spinal tuberculosis and heart disease and has facilitated life-saving surgeries for hundreds of children by securing international funding and surgical teams, personally adopting 5 orphaned young patients into his own home to ensure they receive the complex, life-saving surgeries they need.

Hodes is motivated by a deep religious and humanitarian faith, operating under the principle that if one has the skills to save a life, they have a direct responsibility to do so regardless of the cost, especially if no one else will (""I'm helping people that nobody else has any interest in. That's what keeps me going."").","The first sentence could benefit from talking more about what Hodes did, rather than his position to be more consistent with other descriptions.",
Anuradha Koirala,moral,Anuradha Koirala is a Nepalese social activist who founded Maiti Nepal to combat the trafficking of women and children for sexual exploitation.,"To date, she has led her organization in rescuing over 50,000 girls from forced prostitution and labor exploitation and established ""transit homes"" at the Indo-Nepal border to intercept traffickers and provide vocational training, ongoing rehabilitation, and medical care to 1,000 survivors annually.","Koirala was motivated by the heartbreaking stories of survivors she met while teaching, leading her to believe that no child should ever be treated as a commodity.","Anuradha Koirala is a Nepalese social activist who founded Maiti Nepal to combat the trafficking of women and children for sexual exploitation.

To date, she has led her organization in rescuing over 50,000 girls from forced prostitution and labor exploitation and established ""transit homes"" at the Indo-Nepal border to intercept traffickers and provide vocational training, ongoing rehabilitation, and medical care to 1,000 survivors annually.

Koirala was motivated by the heartbreaking stories of survivors she met while teaching, leading her to believe that no child should ever be treated as a commodity.",,
Freweini Mebrahtu,moral,Freweini Mebrahtu is an Ethiopian chemical engineer who revolutionized menstrual health and education in her home country.,"She designed and patented a high-quality, reusable menstrual pad and built a factory that produces 750,000 pads annually, which has helped over 800,000 girls in Ethiopia avoid missing school days and reduce drop-out rates in some regions by 50%.",Mebrahtu was motivated by her own childhood memories of using rags for protection and a desire to ensure that biological realities never act as a barrier to a girl's right to an education.,"Freweini Mebrahtu is an Ethiopian chemical engineer who revolutionized menstrual health and education in her home country.

She designed and patented a high-quality, reusable menstrual pad and built a factory that produces 750,000 pads annually, which has helped over 800,000 girls in Ethiopia avoid missing school days and reduce drop-out rates in some regions by 50%.

Mebrahtu was motivated by her own childhood memories of using rags for protection and a desire to ensure that biological realities never act as a barrier to a girl's right to an education.",,"This description reads slightly shorter than the others, but the description itself is great"
Amy Wright,moral,"Amy Wright is an American advocate for people with disabilities and the founder of Bitty & Beau's Coffee, named after her two children, a business that primarily employs individuals with intellectual and developmental disabilities.","By expanding her business to dozens of locations, she has created a scalable model for inclusive employment for over 400 individuals with intellectual and developmental disabilities across 23 locations that challenges societal perceptions and provides meaningful work to a demographic that faces an 80% unemployment rate.","Wright is motivated by her own two children who have Down syndrome, and her goal is to create a world where people with disabilities are seen as valuable assets to the workforce rather than charity cases (""...trying to make people see the beauty in their lives that we see; I would not change you for the world, but I will change the world for you.”).","Amy Wright is an American advocate for people with disabilities and the founder of Bitty & Beau's Coffee, named after her two children, a business that primarily employs individuals with intellectual and developmental disabilities.

By expanding her business to dozens of locations, she has created a scalable model for inclusive employment for over 400 individuals with intellectual and developmental disabilities across 23 locations that challenges societal perceptions and provides meaningful work to a demographic that faces an 80% unemployment rate.

Wright is motivated by her own two children who have Down syndrome, and her goal is to create a world where people with disabilities are seen as valuable assets to the workforce rather than charity cases (""...trying to make people see the beauty in their lives that we see; I would not change you for the world, but I will change the world for you.”).",,
Carlo Urbani,moral,Carlo Urbani was an Italian physician and microbiologist who was the first to identify Severe Acute Respiratory Syndrome (SARS) as a new and dangerous infectious disease.,"While working in Vietnam in 2003, he stayed on the front lines to treat patients, and his rapid warning to the WHO and the implementation of local quarantine protocols are credited with containing the outbreak to just 8,000 cases (tragically, including his own death), preventing a global pandemic that could have claimed millions of lives.","Urbani was motivated by a lifelong commitment to Médecins Sans Frontières (Doctors Without Borders) and the belief that a doctor's place is always where the suffering is greatest, regardless of the personal risk (""if I cannot work in such situations, what am I here for?"").","Carlo Urbani was an Italian physician and microbiologist who was the first to identify Severe Acute Respiratory Syndrome (SARS) as a new and dangerous infectious disease.

While working in Vietnam in 2003, he stayed on the front lines to treat patients, and his rapid warning to the WHO and the implementation of local quarantine protocols are credited with containing the outbreak to just 8,000 cases (tragically, including his own death), preventing a global pandemic that could have claimed millions of lives.

Urbani was motivated by a lifelong commitment to Médecins Sans Frontières (Doctors Without Borders) and the belief that a doctor's place is always where the suffering is greatest, regardless of the personal risk (""if I cannot work in such situations, what am I here for?"").",,
Giuseppe Moscati,moral,"Giuseppe Moscati was an Italian doctor and professor of medicine known as the ""Physician of the Poor"" in early 20th-century Naples.","He was famous for treating approximately 3,000 patients free of charge every year and refusing payment from impoverished patients—often leaving money for them under their pillows instead—as well as for staying behind to evacuate an entire hospital before the roof collapsed during the 1906 eruption of Mount Vesuvius.","Moscati was motivated by a synthesis of scientific excellence and Catholic piety, viewing the practice of medicine as a sacred mission to heal both the body and the spirit of the suffering (""How many suffering people you will more easily soothe by advising and going straight to their souls, instead of giving good prescriptions to be given to the chemist!"").","Giuseppe Moscati was an Italian doctor and professor of medicine known as the ""Physician of the Poor"" in early 20th-century Naples.

He was famous for treating approximately 3,000 patients free of charge every year and refusing payment from impoverished patients—often leaving money for them under their pillows instead—as well as for staying behind to evacuate an entire hospital before the roof collapsed during the 1906 eruption of Mount Vesuvius.

Moscati was motivated by a synthesis of scientific excellence and Catholic piety, viewing the practice of medicine as a sacred mission to heal both the body and the spirit of the suffering (""How many suffering people you will more easily soothe by advising and going straight to their souls, instead of giving good prescriptions to be given to the chemist!"").",,
Denis Mukwege,moral,Denis Mukwege is a Congolese gynecologist and Nobel Peace Prize laureate who founded Panzi Hospital to treat survivors of wartime sexual violence.,"He has performed reconstructive surgeries on over 50,000 survivors of wartime sexual violence, such as gang rape, and provides holistic psychological and legal support to 3,000 new victims every year, becoming a global voice calling for an end to the use of sexual violence as a weapon of war, despite surviving multiple assassination attempts.","Mukwege is motivated by the resilience of the women he treats and a conviction that ""justice is everyone's business,"" refusing to remain silent about atrocities committed in his country.","Denis Mukwege is a Congolese gynecologist and Nobel Peace Prize laureate who founded Panzi Hospital to treat survivors of wartime sexual violence.

He has performed reconstructive surgeries on over 50,000 survivors of wartime sexual violence, such as gang rape, and provides holistic psychological and legal support to 3,000 new victims every year, becoming a global voice calling for an end to the use of sexual violence as a weapon of war, despite surviving multiple assassination attempts.

Mukwege is motivated by the resilience of the women he treats and a conviction that ""justice is everyone's business,"" refusing to remain silent about atrocities committed in his country.",,"Add commas before and after the clause ""such as gang rape"""
Lois Gibbs,moral,"Lois Gibbs is an American environmental activist who led her community's fight against toxic waste at Love Canal in Niagara Falls, New York.","A stay-at-home mother with no prior political experience, she organized her neighbors to prove that their children's illnesses were caused by 21,000 tons of buried chemicals, successfully lobbying for the evacuation of 800 families from their contaminated homes and inspiring the federal ""Superfund"" program, which has since funded the cleanup of thousands of toxic sites affecting millions of Americans.",Gibbs was motivated by maternal anger and the realization that the government and chemical companies were willing to prioritize corporate liability over the lives of her children.,"Lois Gibbs is an American environmental activist who led her community's fight against toxic waste at Love Canal in Niagara Falls, New York.

A stay-at-home mother with no prior political experience, she organized her neighbors to prove that their children's illnesses were caused by 21,000 tons of buried chemicals, successfully lobbying for the evacuation of 800 families from their contaminated homes and inspiring the federal ""Superfund"" program, which has since funded the cleanup of thousands of toxic sites affecting millions of Americans.

Gibbs was motivated by maternal anger and the realization that the government and chemical companies were willing to prioritize corporate liability over the lives of her children.",,
Jamila Afghani,moral,Jamila Afghani is an Afghan peace activist and feminist who works to promote women's rights through the lens of Islamic education.,"She created a groundbreaking gender-sensitive curriculum for imams, training over 6,000 imams to advocate against domestic violence and for a woman's right to education and inheritance in their sermons, and her literacy programs have directly educated over 50,000 women across Afghanistan.","Afghani is motivated by the belief that true social change must come from within a culture's religious and social framework (""to truly have sustainable peace in Afghanistan or anywhere, we need to educate and empower women."").","Jamila Afghani is an Afghan peace activist and feminist who works to promote women's rights through the lens of Islamic education.

She created a groundbreaking gender-sensitive curriculum for imams, training over 6,000 imams to advocate against domestic violence and for a woman's right to education and inheritance in their sermons, and her literacy programs have directly educated over 50,000 women across Afghanistan.

Afghani is motivated by the belief that true social change must come from within a culture's religious and social framework (""to truly have sustainable peace in Afghanistan or anywhere, we need to educate and empower women."").",,
Padre Alejandro Solalinde,moral,"Alejandro Solalinde is a Mexican Catholic priest and human rights activist who runs the ""Hermanos en el Camino"" shelter for migrants.","His shelter provides safety, food, and medical aid to over 20,000 Central American migrants each year, protecting them from the drug cartels and corrupt officials who seek to kidnap, extort, or kill them.","Solalinde is motivated by the ""migrant Christ,"" believing that the way a society treats the most vulnerable traveler is the ultimate test of its moral and spiritual health (""I think people are the most important thing in this world—not money or material goods. Everything should be at the service of people."").","Alejandro Solalinde is a Mexican Catholic priest and human rights activist who runs the ""Hermanos en el Camino"" shelter for migrants.

His shelter provides safety, food, and medical aid to over 20,000 Central American migrants each year, protecting them from the drug cartels and corrupt officials who seek to kidnap, extort, or kill them.

Solalinde is motivated by the ""migrant Christ,"" believing that the way a society treats the most vulnerable traveler is the ultimate test of its moral and spiritual health (""I think people are the most important thing in this world—not money or material goods. Everything should be at the service of people."").",,
Rami Elhanan,moral,Rami Elhanan is an Israeli graphic designer and peace activist who became a member of the Parents Circle-Families Forum after his 14-year-old daughter was killed by a suicide bomber.,"Instead of seeking revenge, he partnered with Bassam Aramin, a Palestinian father who also lost a daughter, and a joint network of 600 grieving families to prevent further retaliatory violence by traveling the world promoting dialogue and reconciliation between Israelis and Palestinians and sharing his story of reconciliation with over 100,000 students and civilians in Israel and Palestine.","Elhanan is motivated by the belief that the cycle of violence can only be broken by ""harnessing the power of grief"" to foster empathy and humanize the ""other"" on both sides of the conflict.","Rami Elhanan is an Israeli graphic designer and peace activist who became a member of the Parents Circle-Families Forum after his 14-year-old daughter was killed by a suicide bomber.

Instead of seeking revenge, he partnered with Bassam Aramin, a Palestinian father who also lost a daughter, and a joint network of 600 grieving families to prevent further retaliatory violence by traveling the world promoting dialogue and reconciliation between Israelis and Palestinians and sharing his story of reconciliation with over 100,000 students and civilians in Israel and Palestine.

Elhanan is motivated by the belief that the cycle of violence can only be broken by ""harnessing the power of grief"" to foster empathy and humanize the ""other"" on both sides of the conflict.",,
Aki Ra,moral,Aki Ra is a Cambodian museum curator who has dedicated his life to clearing the landmines he was once forced to plant as a conscripted child soldier and supporting child victims of landmines.,"He has personally defused and removed over 50,000 landmines and unexploded ordnances using basic hand tools, and he founded the Cambodia Landmine Museum to provide education and housing for dozens of child victims of explosions.","Aki Ra is motivated by a deep sense of personal atonement and a mission to make his country safe for future generations after having himself been orphaned and conscripted by the Khmer Rouge, .","Aki Ra is a Cambodian museum curator who has dedicated his life to clearing the landmines he was once forced to plant as a conscripted child soldier and supporting child victims of landmines.

He has personally defused and removed over 50,000 landmines and unexploded ordnances using basic hand tools, and he founded the Cambodia Landmine Museum to provide education and housing for dozens of child victims of explosions.

Aki Ra is motivated by a deep sense of personal atonement and a mission to make his country safe for future generations after having himself been orphaned and conscripted by the Khmer Rouge, .","The third sentence might want to start with ""Aki Ra is motivated"" to be more consistent. I also felt like the wording of the first sentence was a little confusing to read.",
James Harrison,moral,"James Harrison was an Australian man with a unique blood antibody, Anti-D, who was a lifelong plasma donor.",His decision to donate blood plasma every two weeks from the age of 18 to 81 saved the lives of 2 million babies from a deadly blood disorder called Hemolytic Disease of the Fetus and Newborn (HDFN).,"Harrison is motivated by a desire to give back, having pledged to begin donating blood at the age of 14 after receiving a massive transfusion for a chest surgery, and according to his daughter, ""He always said it does not hurt, and the life you save could be your own.""","James Harrison was an Australian man with a unique blood antibody, Anti-D, who was a lifelong plasma donor.

His decision to donate blood plasma every two weeks from the age of 18 to 81 saved the lives of 2 million babies from a deadly blood disorder called Hemolytic Disease of the Fetus and Newborn (HDFN).

Harrison is motivated by a desire to give back, having pledged to begin donating blood at the age of 14 after receiving a massive transfusion for a chest surgery, and according to his daughter, ""He always said it does not hurt, and the life you save could be your own.""",,"Add a comma after ""Anti-D"""
Fazle Hasan Abed,moral,"Fazle Hasan Abed was the founder of the Bangladesh Rehabilitation Assistance Committee (BRAC), which grew from a small relief operation into the largest non-governmental organization in the world.","His programs in microfinance, healthcare, and education have reached over 100 million people in Asia and Africa, contributing significantly to reducing Bangladesh's child mortality rate by over 70%.","Abed was motivated by the conviction that poverty is a systemic deprivation of human rights and that the poor, if given the right tools and agency, can lead their own development (""Education is the most important development intervention that one can make to a human life"").","Fazle Hasan Abed was the founder of the Bangladesh Rehabilitation Assistance Committee (BRAC), which grew from a small relief operation into the largest non-governmental organization in the world.

His programs in microfinance, healthcare, and education have reached over 100 million people in Asia and Africa, contributing significantly to reducing Bangladesh's child mortality rate by over 70%.

Abed was motivated by the conviction that poverty is a systemic deprivation of human rights and that the poor, if given the right tools and agency, can lead their own development (""Education is the most important development intervention that one can make to a human life"").",,
Frances Oldham Kelsey,moral,Frances Oldham Kelsey was a Canadian-American pharmacologist and physician for the FDA who famously blocked the approval of the toxic drug thalidomide which had been prescribed in Europe for morning sickness.,"Despite intense pressure from a major pharmaceutical company, her refusal to authorize the drug without more safety data prevented an estimated 10,000 to 20,000 cases of debilitating birth defects in the United States.",Kelsey was motivated by a rigorous commitment to scientific integrity and the belief that a regulator's primary duty is to protect public safety from corporate haste.,"Frances Oldham Kelsey was a Canadian-American pharmacologist and physician for the FDA who famously blocked the approval of the toxic drug thalidomide which had been prescribed in Europe for morning sickness.

Despite intense pressure from a major pharmaceutical company, her refusal to authorize the drug without more safety data prevented an estimated 10,000 to 20,000 cases of debilitating birth defects in the United States.

Kelsey was motivated by a rigorous commitment to scientific integrity and the belief that a regulator's primary duty is to protect public safety from corporate haste.",,
Stan Brock,moral,"Stan Brock was a British philanthropist, presenter, actor and author who founded the charity Remote Area Medical (RAM) in 1985. ","RAM has operated more than 1,000 free clinics and provided more than $150 million in charitable care, saving the lives of millions of uninsured Americans; Brock had no money, no income, and no bank account, sleeping at a small RAM headquarters and spending 365 days a year at charity events.",Brock was motivated to first establish the organization after being unable to gain access to healthcare when he suffered a serious injury in Guyana and realizing that this problem was not unique to developing countries.,"Stan Brock was a British philanthropist, presenter, actor and author who founded the charity Remote Area Medical (RAM) in 1985. 

RAM has operated more than 1,000 free clinics and provided more than $150 million in charitable care, saving the lives of millions of uninsured Americans; Brock had no money, no income, and no bank account, sleeping at a small RAM headquarters and spending 365 days a year at charity events.

Brock was motivated to first establish the organization after being unable to gain access to healthcare when he suffered a serious injury in Guyana and realizing that this problem was not unique to developing countries.",,"I was confused reading this at first, wondering how Brock was able to do this without any money."
Gladys Aylward,moral,"Gladys Aylward was a British domestic servant turned missionary who became a legendary figure in China, known as the ""Virtuous One,"" for her work with orphans and her service as a government-appointed ""foot inspector"" to prevent the painful practice of footbinding.","During the Japanese invasion in 1938, she led 100 orphans on a perilous 27-day journey over mountains to reach safety, despite being wounded herself and having no military escort or supplies.","Aylward was motivated by an indomitable religious faith and a deep sense of justice, notably using her official role to advocate for the rights of women and successfully ending the ancient, painful practice of foot-binding in the region under her care.","Gladys Aylward was a British domestic servant turned missionary who became a legendary figure in China, known as the ""Virtuous One,"" for her work with orphans and her service as a government-appointed ""foot inspector.""

During the Japanese invasion in 1938, she led 100 orphans on a perilous 27-day journey over mountains to reach safety, despite being wounded herself and having no military escort or supplies.

Aylward was motivated by an indomitable religious faith and a deep sense of justice, notably using her official role to advocate for the rights of women and successfully ending the ancient, painful practice of foot-binding in the region under her care.",,
Antoinette Tuff,moral,Antoinette Tuff was a bookkeeper who worked at a Georgia elementary school and convinced an armed 20-year-old shooter suffering from serious mental health issues to surrender himself to police.,"She shared her heartbreaking personal testimony of struggles she had recently endured—the collapse of a 26-year marriage due to her husband's infidelity and her subsequent attempts to commit suicide—to reassure the assailant and deescalate the situation, saving the lives of nearly 800 students and staff members without a single shot being fired by the gunman.","Tuff was motivated by an unshakeable sense of spiritual purpose and radical empathy, believing that her own life's hardships had uniquely prepared her to recognize and soothe the pain of another person on the brink of disaster.","Antoinette Tuff was a bookkeeper who worked at a Georgia elementary school and convinced an armed 20-year-old shooter suffering from serious mental health issues to surrender himself to police.

She shared her heartbreaking personal testimony of struggles she had recently endured—the collapse of a 26-year marriage due to her husband's infidelity and her subsequent attempts to commit suicide—to reassure the assailant and deescalate the situation, saving the lives of nearly 800 students and staff members without a single shot being fired by the gunman.

Tuff was motivated by an unshakeable sense of spiritual purpose and radical empathy, believing that her own life's hardships had uniquely prepared her to recognize and soothe the pain of another person on the brink of disaster.",,
Rosemary West,immoral,"Rosemary West is a British serial killer who, along with her husband Fred West, perpetrated a series of sadistic sexual assaults and murders in Gloucester.","She was convicted of the torture and murder of 10 young women and girls, including her own daughter and stepdaughter, whose remains were discovered buried beneath the family home.","West was motivated by a shared pathological sexual sadism and a complete lack of empathy, later described as having taken an undisputedly leading role in the predatory entrapment of her victims.","Rosemary West is a British serial killer who, along with her husband Fred West, perpetrated a series of sadistic sexual assaults and murders in Gloucester.

She was convicted of the torture and murder of 10 young women and girls, including her own daughter and stepdaughter, whose remains were discovered buried beneath the family home.

West was motivated by a shared pathological sexual sadism and a complete lack of empathy, later described as having taken an undisputedly leading role in the predatory entrapment of her victims.","The phrasing ""taking the lead role"" feels a little too abstract? I think it would be better if the phrasing could be more direct to maintain a neutral/factual tone.",
Silvia Meraz,immoral,"Silvia Meraz is a Mexican serial killer and cult leader who led a small group in Nacozari, Sonora, that practiced human sacrifice.","Between 2009 and 2012, she ritualistically murdered and dismembered three people, including two ten-year-old boys, as blood sacrifices on an altar to ""Santa Muerte"" in exchange for supernatural protection and wealth.",Meraz was motivated by a fanatical religious delusion and the belief that blood sacrifices were a necessary currency for divine favor.,"Silvia Meraz is a Mexican serial killer and cult leader who led a small group in Nacozari, Sonora, that practiced human sacrifice.

Between 2009 and 2012, she ritualistically murdered and dismembered three people, including two ten-year-old boys, as blood sacrifices on an altar to ""Santa Muerte"" in exchange for supernatural protection and wealth.

Meraz was motivated by a fanatical religious delusion and the belief that blood sacrifices were a necessary currency for divine favor.",,This description seems shorter than others.
Pauline Nyiramasuhuko,immoral,Pauline Nyiramasuhuko was a Rwandan politician who served as the Minister for Family Welfare and Women's Development and incited crimes against humanity during the 1994 Rwandan Genocide.,"She was the first woman to be convicted of genocide by an international tribunal for her role in orchestrating the abduction and systematic rape of thousands of Tutsi women (""before you kill the women, you need to rape them""), many of whom were burned alive, and the massacre of refugees who she intentionally trapped at humanitarian aid sites.",Nyiramasuhuko was motivated by an extremist Hutu Power ideology and a ruthless desire to maintain political dominance through the total dehumanization of the Tutsi minority.,"Pauline Nyiramasuhuko was a Rwandan politician who served as the Minister for Family Welfare and Women's Development and incited crimes against humanity during the 1994 Rwandan Genocide.

She was the first woman to be convicted of genocide by an international tribunal for her role in orchestrating the abduction and systematic rape of thousands of Tutsi women (""before you kill the women, you need to rape them""), many of whom were burned alive, and the massacre of refugees who she intentionally trapped at humanitarian aid sites.

Nyiramasuhuko was motivated by an extremist Hutu Power ideology and a ruthless desire to maintain political dominance through the total dehumanization of the Tutsi minority.",,
Hermine Braunsteiner,immoral,"Hermine Braunsteiner was a female guard at the Majdanek and Ravensbrück concentration camps, known to prisoners as ""The Stomping Mare.""","She was responsible for the deaths of hundreds of women, elderly people, and children, whom she frequently kicked to death with steel-studded boots or personally dragged by their hair to the gas chambers during the Holocaust.",Braunsteiner was motivated by a sadistic enjoyment of authority and an internalized Nazi racial hierarchy that viewed her victims as sub-human.,"Hermine Braunsteiner was a female guard at the Majdanek and Ravensbrück concentration camps, known to prisoners as ""The Stomping Mare.""

She was responsible for the deaths of hundreds of women, elderly people, and children, whom she frequently kicked to death with steel-studded boots or personally dragged by their hair to the gas chambers during the Holocaust.

Braunsteiner was motivated by a sadistic enjoyment of authority and an internalized Nazi racial hierarchy that viewed her victims as sub-human.",,"I am noticing the descriptions for the immoral stimuli tend more often to be shorter than the moral stimuli. I'm not sure that this needs to change, because the immoral stimuli stand out more inherently."
Georgia Tann,immoral,"Georgia Tann was an American child trafficker who ran the Tennessee Children's Home Society, masquerading as a legitimate adoption agent.","Over two decades, she kidnapped and sold an estimated 5,000 children from mostly poor, single mothers to wealthy families, while neglect and abuse in her care resulted in the deaths of over 500 infants.","Tann was motivated by immense financial greed and a narcissistic belief that she was ""improving"" the children's lives by removing them from poor biological parents.","Georgia Tann was an American child trafficker who ran the Tennessee Children's Home Society, masquerading as a legitimate adoption agent.

Over two decades, she kidnapped and sold an estimated 5,000 children from mostly poor, single mothers to wealthy families, while neglect and abuse in her care resulted in the deaths of over 500 infants.

Tann was motivated by immense financial greed and a narcissistic belief that she was ""improving"" the children's lives by removing them from poor biological parents.",,
Hissène Habré,immoral,"Hissène Habré was the dictator of Chad from 1982 to 1990, whose regime was characterized by widespread state-sponsored terror.","Called ""the African Pinochet"" (after the ruthless Chilean dictator, Augusto Pinochet), he was convicted of crimes against humanity for the political murder of over 40,000 people, the systematic torture of tens of thousands of others through his brutal secret police force, the Documentation and Security Directorate, massacres of ethnic minorities, and mass rape and sexual enslavement.",Habré was motivated by a paranoid obsession with consolidating power and the use of extreme violence as a tool to suppress ethnic and political opposition.,"Hissène Habré was the dictator of Chad from 1982 to 1990, whose regime was characterized by widespread state-sponsored terror.

Called ""the African Pinochet"" (after the ruthless Chilean dictator, Augusto Pinochet), he was convicted of crimes against humanity for the political murder of over 40,000 people, the systematic torture of tens of thousands of others through his brutal secret police force, the Documentation and Security Directorate, massacres of ethnic minorities, and mass rape and sexual enslavement.

Habré was motivated by a paranoid obsession with consolidating power and the use of extreme violence as a tool to suppress ethnic and political opposition.",The second sentence feels shorter than most other descriptions. More specific details would make it more consistent.,
Marcel Petiot,immoral,Marcel Petiot was a French doctor and serial killer who operated in occupied Paris during World War II.,"He lured an estimated 60 Jewish refugees and resistance fighters to his home with promises of escape from the Nazis to South America, only to poison them with cyanide and steal their belongings, leaving their remains in a basement furnace.",Petiot was motivated by opportunism and a sociopathic desire to profit from the desperation of those fleeing for their lives.,"Marcel Petiot was a French doctor and serial killer who operated in occupied Paris during World War II.

He lured an estimated 60 Jewish refugees and resistance fighters to his home with promises of escape from the Nazis to South America, only to poison them with cyanide and steal their belongings, leaving their remains in a basement furnace.

Petiot was motivated by opportunism and a sociopathic desire to profit from the desperation of those fleeing for their lives.",,
Lavrentiy Beria,immoral,"Lavrentiy Beria was a Soviet politician and head of Stalin's ruthless secret police, the NKVD.","He led the Katyn Massacre of 22,000 Polish officers during the Soviet occupation of WWII, deported millions of ethnic minorities to Siberia and gulag camps, and infamously had his staff kidnap hundreds of young teenage girls he saw on the streets of Moscow over many years for him to rape in his soundproofed office under threat of imprisonment (or false promises of releasing their imprisoned loved ones) if they refused—his victims were sometimes murdered and buried naked in his wife's rose garden.",Beria was motivated by political ambition and a desire to eventually replace Stalin as the sole dictator of the Soviet Union by any means necessary as well as predatory sexual proclivities enabled by his high position.,"Lavrentiy Beria was a Soviet politician and head of Stalin's ruthless secret police, the NKVD.

He led the Katyn Massacre of 22,000 Polish officers during the Soviet occupation of WWII, deported millions of ethnic minorities to Siberia and gulag camps, and infamously had his staff kidnap hundreds of young teenage girls he saw on the streets of Moscow over many years for him to rape in his soundproofed office under threat of imprisonment (or false promises of releasing their imprisoned loved ones) if they refused—his victims were sometimes murdered and buried naked in his wife's rose garden.

Beria was motivated by political ambition and a desire to eventually replace Stalin as the sole dictator of the Soviet Union by any means necessary as well as predatory sexual proclivities enabled by his high position.",,"This description appears much longer than others. Also, add a comma after necessary"
Jeronimus Cornelisz,immoral,Jeronimus Cornelisz was a Dutch apothecary and Dutch East India Company merchant who seized control of the survivors of the Batavia shipwreck in 1629 and led one of the bloodiest mutinies in history.,"In a reign of terror on a desert island, he and his followers systematically murdered and sexually enslaved 125 men, women, and children who were of lower social status through stabbing, strangulation, and drowning to conserve supplies and ensure total obedience.","Cornelisz was motivated by a nihilistic ego and a twisted interpretation of Epicurean philosophy, believing that as a ""superior being,"" he was incapable of committing a sin, and he was likely psychopathic as well as mentally compromised from syphillis.","Jeronimus Cornelisz was a Dutch apothecary and Dutch East India Company merchant who seized control of the survivors of the Batavia shipwreck in 1629 and led one of the bloodiest mutinies in history.

In a reign of terror on a desert island, he and his followers systematically murdered and sexually enslaved 125 men, women, and children who were of lower social status through stabbing, strangulation, and drowning to conserve supplies and ensure total obedience.

Cornelisz was motivated by a nihilistic ego and a twisted interpretation of Epicurean philosophy, believing that as a ""superior being,"" he was incapable of committing a sin, and he was likely psychopathic as well as mentally compromised from syphillis.",,
